"round","race","circuit","year","driver","driverRef","constructor","number","position","q1","q2","q3"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Lewis Hamilton","hamilton","McLaren",22,1,"1:26.572","1:25.187","1:26.714"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Robert Kubica","kubica","BMW Sauber",4,2,"1:26.103","1:25.315","1:26.869"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Heikki Kovalainen","kovalainen","McLaren",23,3,"1:25.664","1:25.452","1:27.079"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Felipe Massa","massa","Ferrari",2,4,"1:25.994","1:25.691","1:27.178"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,5,"1:25.960","1:25.518","1:27.236"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Jarno Trulli","trulli","Toyota",11,6,"1:26.427","1:26.101","1:28.527"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Nico Rosberg","rosberg","Williams",7,7,"1:26.295","1:26.059","1:28.687"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"David Coulthard","coulthard","Red Bull",9,8,"1:26.381","1:26.063","1:29.041"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Timo Glock","glock","Toyota",12,9,"1:26.919","1:26.164","1:29.593"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Sebastian Vettel","vettel","Toro Rosso",15,10,"1:26.702","1:25.842",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Rubens Barrichello","barrichello","Honda",17,11,"1:26.369","1:26.173",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Fernando Alonso","alonso","Renault",5,12,"1:26.907","1:26.188",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Jenson Button","button","Honda",16,13,"1:26.712","1:26.259",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Kazuki Nakajima","nakajima","Williams",8,14,"1:26.891","1:26.413",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Mark Webber","webber","Red Bull",10,15,"1:26.914",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,16,"1:26.140",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Giancarlo Fisichella","fisichella","Force India",21,17,"1:27.207",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,18,"1:27.446",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Adrian Sutil","sutil","Force India",20,19,"1:27.859",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Takuma Sato","sato","Super Aguri",18,20,"1:28.208",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,21,"1:28.330",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Anthony Davidson","davidson","Super Aguri",19,22,"1:29.059",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Felipe Massa","massa","Ferrari",2,1,"1:35.347","1:34.412","1:35.748"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,2,"1:35.645","1:34.188","1:36.230"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Heikki Kovalainen","kovalainen","McLaren",23,3,"1:35.227","1:34.759","1:36.613"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Lewis Hamilton","hamilton","McLaren",22,4,"1:35.392","1:34.627","1:36.709"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Jarno Trulli","trulli","Toyota",11,5,"1:35.205","1:34.960","1:36.711"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Robert Kubica","kubica","BMW Sauber",4,6,"1:35.794","1:34.811","1:36.727"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,7,"1:35.729","1:34.648","1:36.753"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Mark Webber","webber","Red Bull",10,8,"1:35.440","1:34.967","1:37.009"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Fernando Alonso","alonso","Renault",5,9,"1:35.983","1:35.140","1:38.450"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Timo Glock","glock","Toyota",12,10,"1:35.891","1:35.000","1:39.656"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Jenson Button","button","Honda",16,11,"1:35.847","1:35.208",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"David Coulthard","coulthard","Red Bull",9,12,"1:36.058","1:35.408",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,13,"1:36.074","1:35.562",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Rubens Barrichello","barrichello","Honda",17,14,"1:36.198","1:35.622",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Sebastian Vettel","vettel","Toro Rosso",15,15,"1:36.111","1:35.648",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Nico Rosberg","rosberg","Williams",7,16,"1:35.843","1:35.670",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Giancarlo Fisichella","fisichella","Force India",21,17,"1:36.240",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Kazuki Nakajima","nakajima","Williams",8,18,"1:36.388",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,19,"1:36.677",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Takuma Sato","sato","Super Aguri",18,20,"1:37.087",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Adrian Sutil","sutil","Force India",20,21,"1:37.101",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Anthony Davidson","davidson","Super Aguri",19,22,"1:37.481",NULL,NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Robert Kubica","kubica","BMW Sauber",4,1,"1:32.893","1:31.745","1:33.096"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Felipe Massa","massa","Ferrari",2,2,"1:31.937","1:31.188","1:33.123"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Lewis Hamilton","hamilton","McLaren",22,3,"1:32.750","1:31.922","1:33.292"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,4,"1:32.652","1:31.933","1:33.418"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Heikki Kovalainen","kovalainen","McLaren",23,5,"1:33.057","1:31.718","1:33.488"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,6,"1:33.137","1:31.909","1:33.737"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Jarno Trulli","trulli","Toyota",11,7,"1:32.493","1:32.159","1:33.994"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Nico Rosberg","rosberg","Williams",7,8,"1:32.903","1:32.185","1:34.015"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Jenson Button","button","Honda",16,9,"1:32.793","1:32.362","1:35.057"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Fernando Alonso","alonso","Renault",5,10,"1:32.947","1:32.345","1:35.115"
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Mark Webber","webber","Red Bull",10,11,"1:33.194","1:32.371",NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Rubens Barrichello","barrichello","Honda",17,12,"1:32.944","1:32.508",NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Timo Glock","glock","Toyota",12,13,"1:32.800","1:32.528",NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,14,"1:32.975","1:32.790",NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,15,"1:33.415","1:32.915",NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Kazuki Nakajima","nakajima","Williams",8,16,"1:33.386","1:32.943",NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"David Coulthard","coulthard","Red Bull",9,17,"1:33.433",NULL,NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Giancarlo Fisichella","fisichella","Force India",21,18,"1:33.501",NULL,NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Sebastian Vettel","vettel","Toro Rosso",15,19,"1:34.127",NULL,NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Adrian Sutil","sutil","Force India",20,20,"1:33.562",NULL,NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Anthony Davidson","davidson","Super Aguri",19,21,"1:34.140",NULL,NULL
3,"Bahrain Grand Prix","Bahrain International Circuit",2008,"Takuma Sato","sato","Super Aguri",18,22,"1:35.725",NULL,NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,1,"1:20.701","1:20.784","1:21.813"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Fernando Alonso","alonso","Renault",5,2,"1:21.347","1:20.804","1:21.904"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Felipe Massa","massa","Ferrari",2,3,"1:21.528","1:20.584","1:22.058"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Robert Kubica","kubica","BMW Sauber",4,4,"1:21.423","1:20.597","1:22.065"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Lewis Hamilton","hamilton","McLaren",22,5,"1:21.366","1:20.825","1:22.096"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Heikki Kovalainen","kovalainen","McLaren",23,6,"1:21.430","1:20.817","1:22.231"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Mark Webber","webber","Red Bull",10,7,"1:21.494","1:20.984","1:22.429"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Jarno Trulli","trulli","Toyota",11,8,"1:21.158","1:20.907","1:22.529"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,9,"1:21.466","1:20.815","1:22.542"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,10,"1:21.409","1:20.894","1:22.699"
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Rubens Barrichello","barrichello","Honda",17,11,"1:21.548","1:21.049",NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Kazuki Nakajima","nakajima","Williams",8,12,"1:21.690","1:21.117",NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Jenson Button","button","Honda",16,13,"1:21.757","1:21.211",NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Timo Glock","glock","Toyota",12,14,"1:21.427","1:21.230",NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Nico Rosberg","rosberg","Williams",7,15,"1:21.472","1:21.349",NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,16,"1:21.540","1:21.724",NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"David Coulthard","coulthard","Red Bull",9,17,"1:21.810",NULL,NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Sebastian Vettel","vettel","Toro Rosso",15,18,"1:22.108",NULL,NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Giancarlo Fisichella","fisichella","Force India",21,19,"1:22.516",NULL,NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Adrian Sutil","sutil","Force India",20,20,"1:23.224",NULL,NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Anthony Davidson","davidson","Super Aguri",19,21,"1:23.318",NULL,NULL
4,"Spanish Grand Prix","Circuit de Barcelona-Catalunya",2008,"Takuma Sato","sato","Super Aguri",18,22,"1:23.496",NULL,NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Felipe Massa","massa","Ferrari",2,1,"1:25.994","1:26.192","1:27.617"
5,"Turkish Grand Prix","Istanbul Park",2008,"Heikki Kovalainen","kovalainen","McLaren",23,2,"1:26.736","1:26.290","1:27.808"
5,"Turkish Grand Prix","Istanbul Park",2008,"Lewis Hamilton","hamilton","McLaren",22,3,"1:26.192","1:26.477","1:27.923"
5,"Turkish Grand Prix","Istanbul Park",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,4,"1:26.457","1:26.050","1:27.936"
5,"Turkish Grand Prix","Istanbul Park",2008,"Robert Kubica","kubica","BMW Sauber",4,5,"1:26.761","1:26.129","1:28.390"
5,"Turkish Grand Prix","Istanbul Park",2008,"Mark Webber","webber","Red Bull",10,6,"1:26.773","1:26.466","1:28.417"
5,"Turkish Grand Prix","Istanbul Park",2008,"Fernando Alonso","alonso","Renault",5,7,"1:26.836","1:26.522","1:28.422"
5,"Turkish Grand Prix","Istanbul Park",2008,"Jarno Trulli","trulli","Toyota",11,8,"1:26.695","1:26.822","1:28.836"
5,"Turkish Grand Prix","Istanbul Park",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,9,"1:27.107","1:27.607","1:28.882"
5,"Turkish Grand Prix","Istanbul Park",2008,"David Coulthard","coulthard","Red Bull",9,10,"1:26.939","1:26.520","1:29.959"
5,"Turkish Grand Prix","Istanbul Park",2008,"Nico Rosberg","rosberg","Williams",7,11,"1:27.367","1:27.012",NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Rubens Barrichello","barrichello","Honda",17,12,"1:27.355","1:27.219",NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Jenson Button","button","Honda",16,13,"1:27.428","1:27.298",NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Sebastian Vettel","vettel","Toro Rosso",15,14,"1:27.442","1:27.412",NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Timo Glock","glock","Toyota",12,15,"1:26.614","1:27.806",NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Kazuki Nakajima","nakajima","Williams",8,16,"1:27.547",NULL,NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,17,"1:27.568",NULL,NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,18,"1:27.621",NULL,NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Giancarlo Fisichella","fisichella","Force India",21,19,"1:27.807",NULL,NULL
5,"Turkish Grand Prix","Istanbul Park",2008,"Adrian Sutil","sutil","Force India",20,20,"1:28.325",NULL,NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Felipe Massa","massa","Ferrari",2,1,"1:15.190","1:15.110","1:15.787"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,2,"1:15.717","1:15.404","1:15.815"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Lewis Hamilton","hamilton","McLaren",22,3,"1:15.582","1:15.322","1:15.839"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Heikki Kovalainen","kovalainen","McLaren",23,4,"1:15.295","1:15.389","1:16.165"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Robert Kubica","kubica","BMW Sauber",4,5,"1:15.977","1:15.483","1:16.171"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Nico Rosberg","rosberg","Williams",7,6,"1:15.935","1:15.287","1:16.548"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Fernando Alonso","alonso","Renault",5,7,"1:16.646","1:15.827","1:16.852"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Jarno Trulli","trulli","Toyota",11,8,"1:16.306","1:15.598","1:17.203"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Mark Webber","webber","Red Bull",10,9,"1:16.074","1:15.745","1:17.343"
6,"Monaco Grand Prix","Circuit de Monaco",2008,"David Coulthard","coulthard","Red Bull",9,10,"1:16.086","1:15.839",NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Timo Glock","glock","Toyota",12,11,"1:16.285","1:15.907",NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Jenson Button","button","Honda",16,12,"1:16.259","1:16.101",NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,13,"1:16.650","1:16.455",NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Kazuki Nakajima","nakajima","Williams",8,14,"1:16.756","1:16.479",NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Rubens Barrichello","barrichello","Honda",17,15,"1:16.208","1:16.537",NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,16,"1:16.806",NULL,NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,17,"1:16.933",NULL,NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Sebastian Vettel","vettel","Toro Rosso",15,18,"1:16.955",NULL,NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Adrian Sutil","sutil","Force India",20,19,"1:17.225",NULL,NULL
6,"Monaco Grand Prix","Circuit de Monaco",2008,"Giancarlo Fisichella","fisichella","Force India",21,20,"1:17.823",NULL,NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Lewis Hamilton","hamilton","McLaren",22,1,"1:16.909","1:17.034","1:17.886"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Robert Kubica","kubica","BMW Sauber",4,2,"1:17.471","1:17.679","1:18.498"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,3,"1:17.301","1:17.364","1:18.735"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Fernando Alonso","alonso","Renault",5,4,"1:17.415","1:17.488","1:18.746"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Nico Rosberg","rosberg","Williams",7,5,"1:17.991","1:17.891","1:18.844"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Felipe Massa","massa","Ferrari",2,6,"1:17.231","1:17.353","1:19.048"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Heikki Kovalainen","kovalainen","McLaren",23,7,"1:17.287","1:17.684","1:19.089"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,8,"1:18.082","1:17.781","1:19.633"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Rubens Barrichello","barrichello","Honda",17,9,"1:18.256","1:18.020","1:20.848"
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Mark Webber","webber","Red Bull",10,10,"1:17.582","1:17.523",NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Timo Glock","glock","Toyota",12,11,"1:18.321","1:18.031",NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Kazuki Nakajima","nakajima","Williams",8,12,"1:17.638","1:18.062",NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"David Coulthard","coulthard","Red Bull",9,13,"1:18.168","1:18.238",NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Jarno Trulli","trulli","Toyota",11,14,"1:18.039","1:18.327",NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,15,"1:18.505","1:18.393",NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,16,"1:18.916",NULL,NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Adrian Sutil","sutil","Force India",20,17,"1:19.108",NULL,NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Giancarlo Fisichella","fisichella","Force India",21,18,"1:19.165",NULL,NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Jenson Button","button","Honda",16,19,"1:23.565",NULL,NULL
7,"Canadian Grand Prix","Circuit Gilles Villeneuve",2008,"Sebastian Vettel","vettel","Toro Rosso",15,20,NULL,NULL,NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,1,"1:15.133","1:15.161","1:16.449"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Felipe Massa","massa","Ferrari",2,2,"1:15.024","1:15.041","1:16.490"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Lewis Hamilton","hamilton","McLaren",22,3,"1:15.634","1:15.293","1:16.693"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Fernando Alonso","alonso","Renault",5,4,"1:15.754","1:15.483","1:16.840"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Jarno Trulli","trulli","Toyota",11,5,"1:15.521","1:15.362","1:16.920"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Heikki Kovalainen","kovalainen","McLaren",23,6,"1:15.965","1:15.639","1:16.944"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Robert Kubica","kubica","BMW Sauber",4,7,"1:15.687","1:15.723","1:17.037"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Mark Webber","webber","Red Bull",10,8,"1:16.020","1:15.488","1:17.233"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"David Coulthard","coulthard","Red Bull",9,9,"1:15.802","1:15.654","1:17.426"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Timo Glock","glock","Toyota",12,10,"1:15.727","1:15.558","1:17.596"
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,11,"1:15.848","1:15.770",NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,12,"1:16.006","1:15.786",NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Sebastian Vettel","vettel","Toro Rosso",15,13,"1:15.918","1:15.816",NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,14,"1:16.072","1:16.045",NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Nico Rosberg","rosberg","Williams",7,15,"1:16.085","1:16.235",NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Kazuki Nakajima","nakajima","Williams",8,16,"1:16.243",NULL,NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Jenson Button","button","Honda",16,17,"1:16.306",NULL,NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Rubens Barrichello","barrichello","Honda",17,18,"1:16.330",NULL,NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Giancarlo Fisichella","fisichella","Force India",21,19,"1:16.971",NULL,NULL
8,"French Grand Prix","Circuit de Nevers Magny-Cours",2008,"Adrian Sutil","sutil","Force India",20,20,"1:17.053",NULL,NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Heikki Kovalainen","kovalainen","McLaren",23,1,"1:19.957","1:19.597","1:21.049"
9,"British Grand Prix","Silverstone Circuit",2008,"Mark Webber","webber","Red Bull",10,2,"1:20.982","1:19.710","1:21.554"
9,"British Grand Prix","Silverstone Circuit",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,3,"1:20.370","1:19.971","1:21.706"
9,"British Grand Prix","Silverstone Circuit",2008,"Lewis Hamilton","hamilton","McLaren",22,4,"1:20.288","1:19.537","1:21.835"
9,"British Grand Prix","Silverstone Circuit",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,5,"1:21.022","1:19.802","1:21.873"
9,"British Grand Prix","Silverstone Circuit",2008,"Fernando Alonso","alonso","Renault",5,6,"1:20.998","1:19.992","1:22.029"
9,"British Grand Prix","Silverstone Circuit",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,7,"1:20.818","1:20.115","1:22.491"
9,"British Grand Prix","Silverstone Circuit",2008,"Sebastian Vettel","vettel","Toro Rosso",15,8,"1:20.318","1:20.109","1:23.251"
9,"British Grand Prix","Silverstone Circuit",2008,"Felipe Massa","massa","Ferrari",2,9,"1:20.676","1:20.086","1:23.305"
9,"British Grand Prix","Silverstone Circuit",2008,"Robert Kubica","kubica","BMW Sauber",4,10,"1:20.444","1:19.788",NULL
9,"British Grand Prix","Silverstone Circuit",2008,"David Coulthard","coulthard","Red Bull",9,11,"1:21.224","1:20.174",NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Timo Glock","glock","Toyota",12,12,"1:20.893","1:20.274",NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,13,"1:20.584","1:20.531",NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Jarno Trulli","trulli","Toyota",11,14,"1:21.145","1:20.601",NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Kazuki Nakajima","nakajima","Williams",8,15,"1:21.407","1:21.112",NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Rubens Barrichello","barrichello","Honda",17,16,"1:21.512",NULL,NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Jenson Button","button","Honda",16,17,"1:21.631",NULL,NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Nico Rosberg","rosberg","Williams",7,18,"1:21.668",NULL,NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Adrian Sutil","sutil","Force India",20,19,"1:21.786",NULL,NULL
9,"British Grand Prix","Silverstone Circuit",2008,"Giancarlo Fisichella","fisichella","Force India",21,20,"1:21.885",NULL,NULL
10,"German Grand Prix","Hockenheimring",2008,"Lewis Hamilton","hamilton","McLaren",22,1,"1:15.218","1:14.603","1:15.666"
10,"German Grand Prix","Hockenheimring",2008,"Felipe Massa","massa","Ferrari",2,2,"1:14.921","1:14.747","1:15.859"
10,"German Grand Prix","Hockenheimring",2008,"Heikki Kovalainen","kovalainen","McLaren",23,3,"1:15.476","1:14.855","1:16.143"
10,"German Grand Prix","Hockenheimring",2008,"Jarno Trulli","trulli","Toyota",11,4,"1:15.560","1:15.122","1:16.191"
10,"German Grand Prix","Hockenheimring",2008,"Fernando Alonso","alonso","Renault",5,5,"1:15.917","1:14.943","1:16.385"
10,"German Grand Prix","Hockenheimring",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,6,"1:15.201","1:14.949","1:16.389"
10,"German Grand Prix","Hockenheimring",2008,"Robert Kubica","kubica","BMW Sauber",4,7,"1:15.985","1:15.109","1:16.521"
10,"German Grand Prix","Hockenheimring",2008,"Mark Webber","webber","Red Bull",10,8,"1:15.900","1:15.481","1:17.014"
